brand,model,make year,reg year,km driven,price,transmission,fuel type,engine capacity(CC),ownership,reg number,has insurance,spare key,title,overall cost
Honda,CR-V,2016,2016,119934,180000,Manual,CNG,1400,Second Owner,MH01D8022,Yes,Yes,Honda CR-V 2016,9000
Honda,WR-V,2012,2012,156350,135000,Automatic,Petrol,1400,First Owner,RJ17B1606,No,No,Honda WR-V 2012,6750
Toyota,Innova,2012,2012,160904,175000,Manual,CNG,2200,First Owner,MH15B2686,Yes,Yes,Toyota Innova 2012,8750
Maruti,Swift,2018,2018,64057,155000,Manual,Petrol,800,First Owner,RJ13D6625,Yes,No,Maruti Swift 2018,7750
Renault,Captur,2012,2012,88562,75000,Manual,Diesel,1000,Second Owner,HR17D5777,No,Yes,Renault Captur 2012,3750
Maruti,Vitara Brezza,2021,2021,50438,235000,Manual,Diesel,1000,Second Owner,GJ08D7799,No,Yes,Maruti Vitara Brezza 2021,11750
Maruti,Ertiga,2012,2012,114215,65000,Manual,Petrol,800,Second Owner,WB01B1512,Yes,Yes,Maruti Ertiga 2012,3250
Volkswagen,Passat,2022,2022,48784,515000,Automatic,Petrol,2000,First Owner,KA05B3744,Yes,Yes,Volkswagen Passat 2022,25750
Tata,Tiago,2021,2021,44695,260000,Manual,Petrol,1400,Second Owner,AP04B8390,Yes,No,Tata Tiago 2021,13000
Renault,Lodgy,2022,2022,33874,375000,Automatic,Diesel,1200,First Owner,DL01A3738,No,No,Renault Lodgy 2022,18750
Renault,Duster,2020,2020,62506,225000,Automatic,Petrol,800,Second Owner,MH19A4974,Yes,No,Renault Duster 2020,11250
Renault,Captur,2018,2018,70752,180000,Manual,Diesel,1000,Second Owner,KA16D6073,Yes,Yes,Renault Captur 2018,9000
Toyota,Urban Cruiser,2010,2010,252951,120000,Manual,CNG,2200,Second Owner,UP13C8186,Yes,Yes,Toyota Urban Cruiser 2010,6000
Volkswagen,Tiguan,2021,2021,83923,415000,Manual,Diesel,1800,Second Owner,AP04A2167,No,Yes,Volkswagen Tiguan 2021,20750
Ford,Figo,2014,2014,154655,120000,Manual,Petrol,1500,Third Owner,WB17A2542,Yes,Yes,Ford Figo 2014,6000
Kia,Sonet,2014,2014,62802,190000,Manual,Petrol,2500,Third Owner,GJ13D4141,No,Yes,Kia Sonet 2014,9500
Ford,Aspire,2019,2019,64721,270000,Manual,Diesel,1600,Second Owner,UP07A7530,Yes,No,Ford Aspire 2019,13500
Maruti,Swift,2017,2017,19654,170000,Manual,Electric,1000,First Owner,AP16B6348,Yes,No,Maruti Swift 2017,8500
Volkswagen,Polo,2023,2023,24451,490000,Manual,Petrol,2200,Second Owner,RJ06D8575,Yes,Yes,Volkswagen Polo 2023,24500
Kia,Sonet,2021,2021,36605,505000,Manual,Diesel,1800,First Owner,UP01A8891,Yes,Yes,Kia Sonet 2021,25250
Honda,Civic,2015,2015,76347,240000,Automatic,Diesel,1600,First Owner,RJ01B3193,No,Yes,Honda Civic 2015,12000
Volkswagen,Vento,2020,2020,66906,410000,Manual,Petrol,2000,First Owner,GJ06D3000,Yes,No,Volkswagen Vento 2020,20500
Ford,Freestyle,2014,2014,110231,135000,Manual,Petrol,1400,Second Owner,DL17D4419,Yes,Yes,Ford Freestyle 2014,6750
Mahindra,Marazzo,2012,2012,217661,140000,Automatic,Petrol,2000,Third Owner,DL16C4374,Yes,No,Mahindra Marazzo 2012,7000
Honda,Accord,2015,2015,128372,170000,Manual,Petrol,1400,Second Owner,MH06A6115,Yes,Yes,Honda Accord 2015,8500
Tata,Altroz,2017,2017,113674,195000,Manual,Electric,1600,Second Owner,PB11D2906,Yes,Yes,Tata Altroz 2017,9750
Mahindra,XUV300,2017,2017,80290,305000,Manual,Diesel,2500,First Owner,HR19C8956,Yes,Yes,Mahindra XUV300 2017,15250
Toyota,Corolla,2010,2010,53813,135000,Manual,Diesel,2000,Second Owner,UP15A7493,Yes,Yes,Toyota Corolla 2010,6750
Tata,Nexon,2017,2017,75332,140000,Manual,CNG,1500,Second Owner,WB14D1364,Yes,Yes,Tata Nexon 2017,7000
Honda,Accord,2016,2016,224437,175000,Automatic,Petrol,1200,Second Owner,UP05D9905,Yes,No,Honda Accord 2016,8750
Volkswagen,Polo,2022,2022,60653,525000,Manual,Diesel,2200,First Owner,TS02C8943,Yes,Yes,Volkswagen Polo 2022,26250
Toyota,Corolla,2013,2013,198003,150000,Manual,Petrol,2500,Third Owner,AP06B6622,Yes,No,Toyota Corolla 2013,7500
Renault,Kwid,2016,2016,118802,150000,Automatic,Diesel,1200,Second Owner,RJ06C6560,No,Yes,Renault Kwid 2016,7500
Toyota,Corolla,2019,2019,44657,490000,Automatic,Diesel,1800,Second Owner,TS05B5234,No,Yes,Toyota Corolla 2019,24500
Mahindra,Scorpio,2017,2017,80538,255000,Manual,Petrol,1800,Second Owner,TS03B8984,No,No,Mahindra Scorpio 2017,12750
Toyota,Glanza,2018,2018,63555,395000,Automatic,Diesel,1800,Second Owner,RJ11A7413,No,No,Toyota Glanza 2018,19750
Honda,Jazz,2023,2023,8139,530000,Manual,Diesel,1200,First Owner,RJ14D8804,Yes,No,Honda Jazz 2023,26500
Volkswagen,Polo,2010,2010,209511,140000,Automatic,Diesel,1800,First Owner,TS03C2202,Yes,Yes,Volkswagen Polo 2010,7000
Maruti,Baleno,2023,2023,26696,420000,Automatic,Diesel,1000,First Owner,DL04B5612,No,Yes,Maruti Baleno 2023,21000
Tata,Tiago,2017,2017,110293,135000,Manual,Petrol,1600,Third Owner,MH19C1793,Yes,Yes,Tata Tiago 2017,6750
Kia,Sonet,2015,2015,72742,250000,Manual,CNG,2000,First Owner,MH01C1827,Yes,Yes,Kia Sonet 2015,12500
Toyota,Camry,2017,2017,137921,285000,Manual,Petrol,2200,Third Owner,RJ09B2792,Yes,No,Toyota Camry 2017,14250
Mahindra,XUV500,2010,2010,188814,110000,Manual,Petrol,2500,Third Owner,HR09C9766,Yes,No,Mahindra XUV500 2010,5500
Ford,Figo,2020,2020,61629,375000,Manual,Electric,1500,First Owner,UP07D4572,No,Yes,Ford Figo 2020,18750
Mahindra,Scorpio,2021,2021,41831,555000,Automatic,Petrol,1800,First Owner,WB08A5422,Yes,Yes,Mahindra Scorpio 2021,27750
Renault,Triber,2023,2023,16676,295000,Manual,CNG,800,First Owner,DL14C7645,Yes,Yes,Renault Triber 2023,14750
Tata,Nexon,2017,2017,47070,155000,Manual,Diesel,1400,Third Owner,MH07A1832,Yes,Yes,Tata Nexon 2017,7750
Renault,Kwid,2014,2014,148754,90000,Manual,Diesel,1200,Third Owner,RJ14C5547,No,Yes,Renault Kwid 2014,4500
Ford,Figo,2016,2016,160923,155000,Manual,Petrol,1200,Second Owner,WB18B7852,Yes,Yes,Ford Figo 2016,7750
Ford,Endeavour,2013,2013,91313,110000,Manual,CNG,1400,Second Owner,HR12D3679,No,Yes,Ford Endeavour 2013,5500
Hyundai,Creta,2010,2010,189917,65000,Manual,Petrol,1200,Second Owner,TN13B9996,Yes,No,Hyundai Creta 2010,3250
Tata,Nexon,2015,2015,110655,155000,Automatic,Petrol,1400,First Owner,AP06C5263,Yes,No,Tata Nexon 2015,7750
Kia,Seltos,2010,2010,63149,110000,Manual,Petrol,2000,Third Owner,DL19A6490,Yes,Yes,Kia Seltos 2010,5500
Tata,Nexon,2020,2020,62711,320000,Manual,Electric,1400,First Owner,RJ01B8715,Yes,Yes,Tata Nexon 2020,16000
Maruti,Dzire,2020,2020,31144,200000,Manual,Petrol,1000,First Owner,DL11D7185,Yes,Yes,Maruti Dzire 2020,10000
Honda,CR-V,2015,2015,55205,235000,Automatic,Electric,1600,Third Owner,UP17C5107,Yes,No,Honda CR-V 2015,11750
Toyota,Innova,2016,2016,144997,290000,Manual,Petrol,2500,Second Owner,HR09A9238,Yes,Yes,Toyota Innova 2016,14500
Kia,Seltos,2015,2015,82023,220000,Manual,Petrol,2500,Third Owner,TN07C5497,Yes,No,Kia Seltos 2015,11000
Renault,Triber,2021,2021,37709,230000,Manual,Diesel,1200,Second Owner,TN13B9684,Yes,Yes,Renault Triber 2021,11500
Kia,Sonet,2023,2023,28267,790000,Automatic,Petrol,2200,First Owner,AP12A1271,No,No,Kia Sonet 2023,39500
Volkswagen,Tiguan,2016,2016,171400,215000,Manual,Petrol,1800,Second Owner,TN18B5388,Yes,Yes,Volkswagen Tiguan 2016,10750
Volkswagen,Tiguan,2010,2010,121416,150000,Automatic,Diesel,2200,First Owner,TS07D8486,No,Yes,Volkswagen Tiguan 2010,7500
Volkswagen,Tiguan,2013,2013,133541,165000,Manual,Diesel,1800,Second Owner,HR11B1824,Yes,Yes,Volkswagen Tiguan 2013,8250
Mahindra,Bolero,2014,2014,79893,255000,Automatic,Electric,1800,First Owner,HR03B8312,Yes,No,Mahindra Bolero 2014,12750
Renault,Lodgy,2018,2018,136309,165000,Manual,Petrol,1000,First Owner,UP03A7881,No,No,Renault Lodgy 2018,8250
Toyota,Glanza,2020,2020,36420,480000,Manual,Diesel,2000,First Owner,TS05D4020,No,No,Toyota Glanza 2020,24000
Honda,Amaze,2012,2012,219182,145000,Automatic,Diesel,1500,Second Owner,RJ01C2704,Yes,Yes,Honda Amaze 2012,7250
Tata,Punch,2020,2020,49418,265000,Automatic,Diesel,1500,Second Owner,HR10D7506,Yes,No,Tata Punch 2020,13250
Hyundai,Santro,2022,2022,33308,335000,Manual,Petrol,1600,First Owner,RJ02D5543,Yes,No,Hyundai Santro 2022,16750
Ford,Figo,2018,2018,82726,225000,Manual,Diesel,1600,Second Owner,TN04B8491,Yes,No,Ford Figo 2018,11250
Kia,Sonet,2010,2010,154361,150000,Manual,Diesel,2200,First Owner,PB01B4356,No,Yes,Kia Sonet 2010,7500
Ford,Freestyle,2022,2022,43535,510000,Automatic,Diesel,1500,First Owner,DL12D1988,No,Yes,Ford Freestyle 2022,25500
Mahindra,Thar,2018,2018,29457,355000,Automatic,Petrol,2000,First Owner,DL12B6390,Yes,Yes,Mahindra Thar 2018,17750
Volkswagen,Polo,2022,2022,48105,495000,Manual,Petrol,2000,First Owner,WB03D8725,Yes,Yes,Volkswagen Polo 2022,24750
Tata,Safari,2018,2018,75721,215000,Automatic,Petrol,1500,Second Owner,RJ11D4788,Yes,Yes,Tata Safari 2018,10750
Hyundai,Santro,2015,2015,155472,130000,Automatic,CNG,1200,Third Owner,KA09A7731,No,Yes,Hyundai Santro 2015,6500
Mahindra,XUV300,2013,2013,197500,180000,Manual,Diesel,2000,First Owner,DL13D8833,Yes,Yes,Mahindra XUV300 2013,9000
Kia,Sonet,2011,2011,172328,170000,Manual,Diesel,2500,First Owner,TS09C1552,No,No,Kia Sonet 2011,8500
Tata,Tigor,2020,2020,101288,220000,Manual,CNG,1600,First Owner,KA09D5109,Yes,Yes,Tata Tigor 2020,11000
Volkswagen,Polo,2012,2012,99711,150000,Manual,Petrol,2200,First Owner,TS18C1661,Yes,Yes,Volkswagen Polo 2012,7500
Kia,Carnival,2012,2012,127499,150000,Manual,Petrol,2200,Third Owner,HR05D4453,No,Yes,Kia Carnival 2012,7500
Volkswagen,Passat,2019,2019,78374,345000,Manual,Diesel,2000,Second Owner,KA19B5732,Yes,No,Volkswagen Passat 2019,17250
Maruti,Wagon R,2019,2019,85160,175000,Manual,Petrol,1200,Second Owner,AP05B5648,Yes,No,Maruti Wagon R 2019,8750
Renault,Kwid,2013,2013,90128,80000,Manual,Petrol,1200,Third Owner,AP01D5555,Yes,No,Renault Kwid 2013,4000
Kia,Carnival,2015,2015,116657,240000,Automatic,Petrol,2000,Second Owner,RJ11D7656,Yes,Yes,Kia Carnival 2015,12000
Toyota,Camry,2021,2021,66984,435000,Manual,CNG,2500,Second Owner,PB18B1968,Yes,No,Toyota Camry 2021,21750
Ford,Aspire,2015,2015,123164,160000,Manual,Electric,1600,Third Owner,PB02A8473,No,Yes,Ford Aspire 2015,8000
Hyundai,Elantra,2021,2021,31410,330000,Manual,Diesel,1400,First Owner,GJ08B9320,No,Yes,Hyundai Elantra 2021,16500
Mahindra,Scorpio,2010,2010,188163,100000,Manual,CNG,1800,Third Owner,PB08A5909,No,No,Mahindra Scorpio 2010,5000
Toyota,Camry,2018,2018,88702,360000,Manual,Petrol,2000,Second Owner,UP16A4828,Yes,No,Toyota Camry 2018,18000
Mahindra,Marazzo,2013,2013,197101,155000,Automatic,Petrol,2000,Third Owner,DL07A3772,Yes,Yes,Mahindra Marazzo 2013,7750
Toyota,Glanza,2021,2021,88954,525000,Manual,Petrol,2500,First Owner,KA08B8117,Yes,Yes,Toyota Glanza 2021,26250
Kia,Sonet,2015,2015,55627,215000,Manual,Diesel,2500,Third Owner,MH12C7570,Yes,Yes,Kia Sonet 2015,10750
Toyota,Urban Cruiser,2018,2018,58426,455000,Automatic,Petrol,2500,First Owner,TN16A4610,No,Yes,Toyota Urban Cruiser 2018,22750
Kia,Sonet,2011,2011,185375,120000,Manual,Petrol,2000,Second Owner,HR07A4654,Yes,No,Kia Sonet 2011,6000
Renault,Captur,2013,2013,210700,85000,Manual,Diesel,800,First Owner,GJ09B5616,Yes,Yes,Renault Captur 2013,4250
Kia,Seltos,2019,2019,46133,415000,Automatic,Petrol,2500,Second Owner,MH19D4040,Yes,Yes,Kia Seltos 2019,20750
Hyundai,i20,2016,2016,61495,190000,Manual,Diesel,1200,Second Owner,HR09B2100,Yes,Yes,Hyundai i20 2016,9500
Honda,Accord,2014,2014,114298,140000,Manual,Diesel,1200,Third Owner,WB14C6699,No,Yes,Honda Accord 2014,7000
Tata,Tiago,2010,2010,90014,80000,Manual,Petrol,1200,First Owner,DL02D3475,Yes,Yes,Tata Tiago 2010,4000
Hyundai,Creta,2015,2015,102449,205000,Automatic,Electric,1400,Second Owner,DL03B5211,Yes,Yes,Hyundai Creta 2015,10250
Volkswagen,Tiguan,2019,2019,64811,270000,Manual,Petrol,2500,Third Owner,KA16B1236,Yes,No,Volkswagen Tiguan 2019,13500
Tata,Safari,2010,2010,190646,60000,Manual,Diesel,1400,Third Owner,AP16D3785,Yes,Yes,Tata Safari 2010,3000
Hyundai,i20,2014,2014,74712,135000,Manual,Petrol,1200,Second Owner,TN18C9453,No,Yes,Hyundai i20 2014,6750
Toyota,Urban Cruiser,2019,2019,11780,430000,Automatic,Petrol,2000,Second Owner,TS03D8693,Yes,Yes,Toyota Urban Cruiser 2019,21500
Hyundai,Creta,2011,2011,175623,80000,Manual,Petrol,1400,Third Owner,TN14A5917,No,Yes,Hyundai Creta 2011,4000
Mahindra,XUV500,2022,2022,27750,570000,Manual,Petrol,2000,First Owner,WB13C1845,No,Yes,Mahindra XUV500 2022,28500
Hyundai,Verna,2016,2016,107769,160000,Manual,Diesel,1400,Second Owner,UP19A6448,No,Yes,Hyundai Verna 2016,8000
Maruti,Baleno,2013,2013,74915,85000,Manual,Petrol,1000,Third Owner,KA07C2549,Yes,Yes,Maruti Baleno 2013,4250
Ford,Figo,2023,2023,20791,465000,Manual,Diesel,1500,First Owner,AP01A7356,No,No,Ford Figo 2023,23250
Toyota,Camry,2013,2013,73567,225000,Manual,Diesel,2200,First Owner,HR04B5719,No,Yes,Toyota Camry 2013,11250
Tata,Tiago,2015,2015,139200,135000,Automatic,Diesel,1200,Second Owner,DL02D4631,Yes,No,Tata Tiago 2015,6750
Renault,Lodgy,2021,2021,76641,200000,Manual,Petrol,1200,Second Owner,GJ13C8083,Yes,No,Renault Lodgy 2021,10000
Volkswagen,Tiguan,2020,2020,84738,395000,Manual,Electric,2200,Second Owner,HR14D5531,No,No,Volkswagen Tiguan 2020,19750
Kia,Seltos,2014,2014,187765,180000,Manual,Petrol,2500,Second Owner,DL08D9551,Yes,Yes,Kia Seltos 2014,9000
Maruti,Baleno,2023,2023,21722,285000,Manual,Petrol,800,Second Owner,AP04D6978,No,No,Maruti Baleno 2023,14250
Hyundai,Creta,2019,2019,84311,225000,Manual,Petrol,1500,Second Owner,HR18B3461,No,No,Hyundai Creta 2019,11250
Maruti,Vitara Brezza,2012,2012,98629,65000,Manual,CNG,1200,Second Owner,AP08B8527,Yes,Yes,Maruti Vitara Brezza 2012,3250
Mahindra,Marazzo,2020,2020,57303,365000,Manual,Petrol,1800,Second Owner,PB18C5082,Yes,Yes,Mahindra Marazzo 2020,18250
Toyota,Camry,2010,2010,66441,130000,Manual,Petrol,2200,Second Owner,UP05C7279,Yes,Yes,Toyota Camry 2010,6500
Toyota,Glanza,2010,2010,125565,120000,Manual,Petrol,2500,Second Owner,GJ02A3159,No,Yes,Toyota Glanza 2010,6000
Kia,Sonet,2015,2015,157068,230000,Manual,Petrol,2500,Second Owner,RJ19A1697,Yes,Yes,Kia Sonet 2015,11500
Renault,Triber,2019,2019,29155,200000,Manual,Diesel,1200,First Owner,UP13D3563,Yes,No,Renault Triber 2019,10000
Kia,Carnival,2013,2013,248994,190000,Manual,Diesel,2000,First Owner,KA17C6997,Yes,No,Kia Carnival 2013,9500
Kia,Sonet,2014,2014,143277,190000,Manual,Petrol,2500,Third Owner,DL18C2651,Yes,No,Kia Sonet 2014,9500
Volkswagen,Passat,2015,2015,88302,220000,Manual,Petrol,2500,Second Owner,WB11C4471,Yes,Yes,Volkswagen Passat 2015,11000
Honda,Civic,2020,2020,53975,345000,Automatic,Petrol,1200,Second Owner,HR19A8999,Yes,No,Honda Civic 2020,17250
Toyota,Urban Cruiser,2015,2015,101238,230000,Manual,Petrol,2200,Third Owner,TS09B1685,Yes,Yes,Toyota Urban Cruiser 2015,11500
Renault,Kwid,2013,2013,93437,70000,Manual,Petrol,1000,Third Owner,HR13B6675,Yes,No,Renault Kwid 2013,3500
Hyundai,Grand i10,2020,2020,56377,285000,Automatic,Petrol,1200,First Owner,RJ11D6591,Yes,No,Hyundai Grand i10 2020,14250
Renault,Kwid,2014,2014,85977,105000,Manual,Electric,800,Second Owner,UP09A8345,No,Yes,Renault Kwid 2014,5250
Mahindra,XUV500,2010,2010,229303,115000,Manual,Diesel,2200,First Owner,TS02A2537,Yes,Yes,Mahindra XUV500 2010,5750
Honda,Civic,2016,2016,82781,185000,Manual,Petrol,1600,Third Owner,KA17D3324,Yes,Yes,Honda Civic 2016,9250
Mahindra,Bolero,2015,2015,96657,215000,Manual,Electric,1800,Third Owner,MH03D8264,Yes,No,Mahindra Bolero 2015,10750
Ford,EcoSport,2020,2020,83348,295000,Manual,Petrol,1500,First Owner,WB09D9676,Yes,No,Ford EcoSport 2020,14750
Renault,Duster,2019,2019,111324,140000,Manual,CNG,1000,Third Owner,MH11D7629,Yes,Yes,Renault Duster 2019,7000
Toyota,Urban Cruiser,2020,2020,76930,535000,Manual,Electric,2000,Second Owner,GJ16A9766,Yes,Yes,Toyota Urban Cruiser 2020,26750
Hyundai,Verna,2021,2021,49934,335000,Manual,Diesel,1500,First Owner,TN02B7788,No,Yes,Hyundai Verna 2021,16750
Mahindra,Scorpio,2015,2015,85437,280000,Automatic,Diesel,2200,Second Owner,RJ02B1587,Yes,Yes,Mahindra Scorpio 2015,14000
Renault,Duster,2023,2023,27418,375000,Manual,Diesel,1000,First Owner,UP16D7416,No,Yes,Renault Duster 2023,18750
Honda,City,2013,2013,122009,145000,Manual,Petrol,1500,First Owner,UP01D4830,Yes,No,Honda City 2013,7250
Volkswagen,Tiguan,2015,2015,95263,180000,Manual,Diesel,1800,Third Owner,WB17C1392,No,No,Volkswagen Tiguan 2015,9000
Maruti,Dzire,2020,2020,21642,265000,Automatic,Diesel,1000,First Owner,PB17A1423,No,No,Maruti Dzire 2020,13250
Volkswagen,Tiguan,2023,2023,27152,760000,Automatic,Electric,1800,First Owner,UP19C8155,Yes,No,Volkswagen Tiguan 2023,38000
Renault,Kwid,2023,2023,21786,340000,Automatic,Petrol,800,First Owner,UP04C9259,No,No,Renault Kwid 2023,17000
Mahindra,XUV500,2017,2017,116251,255000,Manual,Petrol,2000,Third Owner,AP05D8851,Yes,Yes,Mahindra XUV500 2017,12750
Tata,Harrier,2010,2010,112224,75000,Automatic,Petrol,1500,Second Owner,KA06D4740,Yes,No,Tata Harrier 2010,3750
Tata,Tigor,2021,2021,81855,255000,Manual,Diesel,1400,Third Owner,RJ06B3261,Yes,Yes,Tata Tigor 2021,12750
Kia,Carnival,2017,2017,82110,270000,Manual,Petrol,1800,First Owner,KA16A6808,Yes,Yes,Kia Carnival 2017,13500
Renault,Triber,2013,2013,125397,75000,Manual,Petrol,800,Second Owner,TS09A6463,Yes,No,Renault Triber 2013,3750
Honda,Jazz,2016,2016,92656,300000,Automatic,Electric,1600,First Owner,DL08D9210,Yes,No,Honda Jazz 2016,15000
Maruti,Vitara Brezza,2019,2019,72402,175000,Manual,Diesel,1000,Second Owner,TN18A2774,Yes,No,Maruti Vitara Brezza 2019,8750
Kia,Carnival,2018,2018,90932,300000,Manual,CNG,1800,Second Owner,MH19B8544,Yes,Yes,Kia Carnival 2018,15000
Toyota,Fortuner,2022,2022,32976,850000,Automatic,Diesel,2500,First Owner,PB01C8980,Yes,No,Toyota Fortuner 2022,42500
Volkswagen,Tiguan,2017,2017,129158,290000,Automatic,Petrol,2000,First Owner,UP06B4259,Yes,Yes,Volkswagen Tiguan 2017,14500
Volkswagen,Tiguan,2016,2016,127822,190000,Manual,Petrol,2000,Second Owner,RJ07B7583,Yes,No,Volkswagen Tiguan 2016,9500
Maruti,Swift,2013,2013,144347,95000,Manual,Petrol,1000,First Owner,PB17A2829,No,Yes,Maruti Swift 2013,4750
Renault,Captur,2015,2015,193345,110000,Automatic,Petrol,800,Third Owner,KA11A8939,Yes,Yes,Renault Captur 2015,5500
Kia,Carnival,2011,2011,118842,150000,Manual,CNG,1800,First Owner,HR05C7789,Yes,No,Kia Carnival 2011,7500
Tata,Nexon,2022,2022,37766,345000,Manual,Diesel,1200,First Owner,KA03B2439,No,Yes,Tata Nexon 2022,17250
Toyota,Urban Cruiser,2020,2020,24153,620000,Manual,Electric,2500,First Owner,MH11D7652,No,No,Toyota Urban Cruiser 2020,31000
Volkswagen,Passat,2019,2019,111816,330000,Manual,Petrol,2500,Second Owner,KA02C2708,Yes,Yes,Volkswagen Passat 2019,16500
Ford,Endeavour,2014,2014,107084,145000,Manual,Electric,1400,Third Owner,HR16D6867,No,Yes,Ford Endeavour 2014,7250
Tata,Tigor,2020,2020,69169,315000,Manual,Electric,1500,First Owner,DL19A4802,Yes,No,Tata Tigor 2020,15750
Tata,Punch,2022,2022,37918,385000,Automatic,Petrol,1600,First Owner,RJ19C6442,Yes,Yes,Tata Punch 2022,19250
Ford,Figo,2015,2015,169702,165000,Manual,Diesel,1400,Second Owner,WB02A4735,No,Yes,Ford Figo 2015,8250
Honda,Jazz,2011,2011,223940,100000,Manual,Petrol,1500,Second Owner,AP01C6668,Yes,No,Honda Jazz 2011,5000
Volkswagen,Tiguan,2010,2010,206437,115000,Manual,Diesel,2500,Second Owner,TN06C4426,Yes,No,Volkswagen Tiguan 2010,5750
Hyundai,Venue,2022,2022,29089,435000,Automatic,Diesel,1400,First Owner,MH13D3555,No,Yes,Hyundai Venue 2022,21750
Renault,Triber,2015,2015,99400,115000,Manual,Petrol,800,First Owner,KA19A1182,Yes,Yes,Renault Triber 2015,5750
Renault,Captur,2013,2013,94853,85000,Manual,Diesel,1000,Second Owner,TN13C6590,No,Yes,Renault Captur 2013,4250
Hyundai,Grand i10,2017,2017,79990,175000,Manual,Petrol,1600,First Owner,HR18D7352,Yes,No,Hyundai Grand i10 2017,8750
Toyota,Urban Cruiser,2018,2018,80003,395000,Automatic,Petrol,1800,Second Owner,KA13C3224,Yes,No,Toyota Urban Cruiser 2018,19750
Maruti,Alto,2016,2016,19531,185000,Automatic,Diesel,1200,First Owner,AP11A4607,No,No,Maruti Alto 2016,9250
Volkswagen,Polo,2013,2013,179576,135000,Manual,Petrol,2000,Second Owner,UP03C2519,Yes,Yes,Volkswagen Polo 2013,6750
Ford,EcoSport,2022,2022,49221,465000,Automatic,Petrol,1500,First Owner,TS01D2772,Yes,Yes,Ford EcoSport 2022,23250
Hyundai,Creta,2021,2021,52328,365000,Automatic,Petrol,1200,First Owner,UP17B2673,Yes,Yes,Hyundai Creta 2021,18250
Toyota,Corolla,2017,2017,116170,320000,Manual,Petrol,2000,Second Owner,DL12B5979,Yes,Yes,Toyota Corolla 2017,16000
Kia,Sonet,2010,2010,239599,95000,Manual,Petrol,2200,Third Owner,TS10C3222,No,Yes,Kia Sonet 2010,4750
Toyota,Innova,2010,2010,132859,135000,Manual,Petrol,1800,Second Owner,TN13C8395,No,Yes,Toyota Innova 2010,6750
Maruti,Ertiga,2018,2018,54506,160000,Manual,Petrol,1200,First Owner,MH02D4276,No,Yes,Maruti Ertiga 2018,8000
Kia,Seltos,2016,2016,127593,255000,Automatic,Petrol,2500,Third Owner,GJ10A1025,No,Yes,Kia Seltos 2016,12750
Toyota,Urban Cruiser,2021,2021,68553,570000,Automatic,Petrol,2200,First Owner,UP14B8763,Yes,Yes,Toyota Urban Cruiser 2021,28500
Hyundai,Santro,2020,2020,52282,345000,Automatic,Petrol,1400,First Owner,TS18B2932,Yes,Yes,Hyundai Santro 2020,17250
Renault,Captur,2022,2022,33791,275000,Manual,Diesel,1000,First Owner,RJ12C9548,Yes,Yes,Renault Captur 2022,13750
Mahindra,Scorpio,2019,2019,58846,365000,Automatic,Diesel,1800,Third Owner,GJ08A3409,Yes,No,Mahindra Scorpio 2019,18250
Maruti,Wagon R,2016,2016,130329,155000,Automatic,Diesel,800,Second Owner,WB10C9148,Yes,Yes,Maruti Wagon R 2016,7750
